country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
LVA,1956,1,interm,1,77,41.40136,0.88,0.929719,0,0,0.34585,1.81481,1.267553,1.859861,1.828067,2.622924,3.866783,2.549129,2.403696,2.954926,3.735403,4.22547,4.229101,3.390542,2.497529,.,.,.,.,.,.
LVA,1956,1,interm,1,78,6.361421,0.1092,0.11537,0,0,0,0.225201,0.306136,0.230792,0.226847,0.325481,0.479833,0.456378,0.43034,0.485512,0.613749,0.69427,0.694867,0.557087,0.410358,.,.,.,.,.,.
LVA,1956,1,interm,1,79,9.51631,0.0108,0.01141,0,0,0,0.022273,0.030277,0.022826,0.022435,0.03219,0.047456,0.514363,0.485017,1.168493,1.477125,1.670917,1.672353,1.340755,0.987621,.,.,.,.,.,.
LVA,1956,1,interm,1,80,32.0647,0.089,0.018377,0.036593,0,0.280589,0.712416,0.36215,0.630477,0.619699,0.688581,1.015125,4.477888,4.222414,2.656864,3.358617,3.799252,3.802516,3.048541,2.245606,.,.,.,.,.,.
LVA,1956,1,interm,1,81,15.00385,7.43326,0.533419,0.108738,0,0.014993,0.037987,0.019311,0.033586,0.033013,0.097337,0.143495,0.280766,0.264748,0.843603,1.066391,1.205954,1.206881,0.967594,0.712777,.,.,.,.,.,.
LVA,1956,1,interm,1,82,4.010548,0.1,0,0,0,0,0.257785,0,0,0,0.212899,0.313863,0.269515,0.254139,0.52291,0.429667,0.486037,0.486454,0.389999,0.28728,.,.,.,.,.,.
LVA,1956,1,interm,1,83,41.35208,1.257683,0.048935,0.032041,0.610895,0.562724,1.765587,1.575275,0.876617,0.861631,1.998263,2.945895,3.083679,2.907749,3.049395,4.086185,4.622272,4.626247,3.708937,2.732065,.,.,.,.,.,.
LVA,1956,1,interm,1,84,93.15084,1.159237,1.449903,2.063446,0.837868,2.044874,5.711511,4.155364,2.513184,2.470221,4.815299,7.098845,5.81444,5.482714,6.699506,8.469032,9.427405,9.588361,7.687149,5.66248,.,.,.,.,.,.
LVA,1956,1,interm,1,85,15.24996,0.030479,0.11401,0.24122,0.097949,0.239049,0.673631,0.485769,0.293795,0.288773,0.532457,0.784963,0.666654,0.62862,1.419047,1.793857,2.101112,2.030945,1.628243,1.199391,.,.,.,.,.,.
LVA,1956,1,interm,1,86,33.62015,0.810284,0.549083,0.298236,0.121099,0.295551,0.832852,0.600587,0.363238,0.357029,1.039231,1.532061,1.065334,1.004555,3.465919,4.381366,5.036993,4.960439,3.976867,2.929427,.,.,.,.,.,.
